6436	-601970.1540415096	261257.0938342053	916289.3266680343	-549942	134691.80219469406	990933	-541040	-548872	606089	965043	-176986.44937120297	850839	888570.48054325	-301870.4488677775	-587980	20370	-300637	367482.29055199074	850747.4095708032	-58962.64274682221	464737	-41143.39369469031	357915.1903116158	-735909	159127.2787491458	-294195	-548625	549043	913494	554670.1770599203	458168	203549	-551035.0255914538	-65665	-384052	-136154	-874371.3568867985	-307057	-536523.7306362612	-953660	-637966.6637896574	-566299	654696.025789937	-803532.3271036427	-780274.8241203921	-197999	681712	-754198.8766627184	-172827	-782898.2747995341	314474.6260610733	-259975.13622311794	423512.932712025	757520	-352876.4757500611	-539074	-882358.7100948349	-413806.0795063749	-373635.8552522969	344790	-284958.7946062917	155596	453167	488292.09237549664	811218.6744312625	775449	-424580	-885524	559354.9495939529	-390103.56403070316	203920.6425157024	332631.46603330877	694743	-402915	-417269.106099462	99453	-295333	589199	983336.0593829083	417204	-735296	854816	87117	503337	88528	-574638	882042	624859	-575100.3034366329	688944	112545	-923100.8827327623	395739.0527133846	557979	-506709.16952061653	-883831	-808176.4967926579	364640	-51044
-133833.34856144094	-357799.0991418456	-808374	-399724.1897291348	799711	-550781	-846664.2217028679	-589371	706168.1502841825	-153657	643691	880205	38746.61826627259	26028.797044784063	998004	-105927	-456972.9330340903	-275718.95519280015	399262.2033701164	-572089.2758076091	374770	-396984	-837363	-167887	-485599	564221.7823845707	-280742	-360858.74961824296	517661	836219.6184523832	28255	-165228	635184.5310726804	-669840	230015.81021688436	-656175	-706787	961974	803517.7990245493	-528081.9704945263	-311227	277192.2239714854	-412488.98711962707	-883469.954853889	818765	699217	-125401.10199876281	-722473.8474978509	673769.4685121689	-769781	303376	-244636.61674412515	-563495	889864.949848565	502524.1283767817	-242875	-699339	-232473	-955489.0089657784	-788562	791854	-582268.1400911183	897826.8463062374	241402	470450	968433	-396427.5118551237	-706828.9115345392	-995232.2710211608	-562424.4047606597	229741	697967.8002210811	223449	509921	-862806.535379262	-78435.5206608465	-622827.1807231123	111393	-425797	767183	982906	-373244.0145688696	296721	-242515.02565995126	647148.5760926662	-350791.65940581914	664970	-171098	838890.1443709321	-370887.9329212118	714599	990002.5951756858	936774	-719093	-739537	-450568.04936968326	993861.2585878372	763885.273361149	485800	221901.18642754387
-873390	719287.4001791577	891519	-674395	-532386	-293110.71076694014	156733	498131.87008578796	-199719.7442241212	-770682	-246429	505717.8598793382	-710378	626011	-717601	-229860.687046638	225559	-979598.2395671232	810370.1632885714	414463	996135	-888799	179224	196959.38063293486	799413	-580984.3347751449	3579.8378620313015	-765200.8726057801	-660249.125167338	-455972.7792129618	318755	247323.82085025706	240840	-269935.48701695434	926217.5352780498	-875533	304786.6877097399	-47035	-602793	-695389	600332	789694.5026311534	-355961	-373010.2205526482	64711	161734	-429045	-794967.4167092862	682916.5093070525	964531	346101	-347880	568665	-208798	-15894.90816560213	-934338	562494	-203024	-356836.86749372655	67275.88160348893	974783	-465559	885771.947257045	-672138	-371782.87017791707	-275627	-262088	369901.1423247559	-66394	-614931.7668203092	-959217.7762505567	536895.0712082237	-672078	-680000	188023	-423265.2204908385	308934.44658449036	-172900	-21534	-571472	-125212	-481287	-387958.15834067145	-324881	405916	-806295.7864277298	307410	-911835	-719690	22213	875823.0245963552	-821310	806175	397724.9727816724	-333404.5429363026	299721	988513.259713795	-490693	-194709.0489475585	600934
-412778.1127816759	-83508.4030192577	758380.642510223	-727215	-703490.4439136032	-242278.78467447718	28288.367410557577	-757324.0297831476	566686.4235266848	-700368	-903494.9850971134	-583457	-965110.5972166667	-149360.84335288685	-378083.3086530481	387780	-800743	259158	831378	945687.1142690962	752359.8358446113	349687.81336012995	-358878.7524896797	-478729	-840494	19671	-589639.9249865762	-556058.3204340657	-150291	-290181	239355	255259	-228869.64095049596	-420105.9540849774	-513619	152331.77549155685	-617575.883260824	-13529	304720.13756176597	429750	-485992	323707.8276585238	853755	-105200	-423908.9971498302	604415.8014137622	-22195	-524475	572315	-83666	903050.0152551809	-661986	-4821	-504918	5435.15874359943	-80718.54307681031	-771271	-774110	9343	-359760.6482266742	953815.4710643829	-253978	842013	860472	-763285.4208962949	-309853	-989337	-710161	-62369.362127017346	-276400	-628086.2487271493	-912071	-521839	114508	525832	-519437	629482	-63621	956049.1740943904	770968.9727981039	-931165	-60374	-391158.58400738984	896140	-932050	233931	-351388	464215.1446088117	-655265.2285153072	-526914.0419145317	-77684	-475057.0213338741	-537042	-510956.5193745622	-150925	-601848.5477118199	-312684.4495949304	104831.07332278509	-893268.4843411889	903594.4421587773
179799	641829.0302259969	-796192	750559	-665764.8983040387	-473571.1513215421	-360073.2333390167	-605859	-631401	-583934.8298993572	225304.37170353206	170208.50912298379	-147904.3027903149	-895215.0276736415	884541.1452187307	-582355.8258417873	785444.9001791014	-152823	860412.4210521865	368183	-157804.2731106633	-629653.7583778545	970983.1501443638	149537.22399924626	315008.3977538906	-585758	499229.04989117524	950624	-326103.4842510298	243066.12691962323	141777	87008.86499790591	-379075.8213164897	707480	619238	-499993	889907	-569740	566544.0883123332	-175021	682948.8864580947	-5837.964547602576	853716	-806605.3468147634	-54416.980628719786	72862	-697418.9690476358	-415314	-653543.9437860686	776508.4947406757	379370	359800	237318	973003.1724390362	-264763.6226465666	-261109	-964094	-230200	-892283.8462009921	-401964	438363	-990149.5554629687	-106403.64938850747	375888	-949866	665283.4290947146	-958928	489789	200796	-906832.0693274196	-311527.8373923524	-276187	852263	779263	-717351	-753083	314135.5653424433	853019	887973	785088	108684.29861943377	881697	-914660	-987899	-230808.43268718617	-436223	-887790.6409195757	636055	-416865	-41373	976086	682470.07110157	-396785	182536	-458992.19536062307	-389264	-145379	863093.8686391008	-655996	16135
994862.967939801	-188794	-913190	-339675	-219420.47942725965	-445516.8543718946	-236469	894058.6285842406	564842	-165552	588170	591196	-924297	22580	626105.803947622	-296435.53181492805	231333.30834344449	-35551.19354196789	47221.16527958703	-352675.43365407386	374772.8449964009	531097.1090104266	-224011.3608654351	141352.1350521557	-534147.0009295973	307970.6747047398	-310775	997800.8449172676	872928.7728081485	-973483	-6997.215565182036	-645775	357025.6253794255	-636386	707949.1387058678	-313554	627854.927507591	14884	-979836	-239483.04692336358	-344965.8461058198	576342.5826628313	847183.6329016907	106318	988745	-407772.1278704944	669905.137881605	-293467.7442043454	351497	-281991.5607657655	603116.0284707618	699911	-881110	450442.8004420516	710337.0881898704	469714.9654554252	639432	-211809.74531291018	-952098.7439991158	-713950	271641.93509583455	-181885	-83299.32320182712	571467	-651401.136181968	-290317.41927192826	136708	-686301	-438432.4300063214	-409994	-618411	-612384.1069209699	749891.2756461729	-47296.825454770355	840341	-274935	-990757.758752888	502960.5905726834	-356950	-941200	-725526	460956.12618982117	407005	-124908.1473035902	-114024	-133427.1533408753	-878139	-13648.360100189107	-302199	835238.2951986727	451944	196444.84871460567	329201.0937214473	-76401.29556399991	737737	391859.190709525	315394	-894574	-126941	743871
106154.45444090595	-222521	-251418	440207.8607559183	-383703	463264.456202911	573623.0709822671	-742900	935674.9232846498	-68882.60398897983	-669422	595018.6091883294	589613	769012.5341871209	520177.24129523616	-134146.74414485786	764943.2749847742	507542	-946046	294284.8656146156	-831739	627309	-380339	-859184	995954	-176256	-469032	518646	314702	624155	-524316.1198193744	-366265.82893891085	-937121	957465.2153490821	473032	-407565	903007.0791374412	521483	647540.7230134129	-377207	-230955	-955658.2975174923	993494	-173523.84213072143	-319091	-106588.6615927309	502760	407419.93810651335	-90525.8967770444	-416430	-922625.2317390576	-188527	-356175	-312453	423999	790808	-864320.3336410108	-360073	690632	36871.988194365054	561383.3836920124	-749882	-193830	-230678.73563672684	-794531.6218684125	280378	346844	222221	-965569.6722615066	355021.81844463316	-769266	22916	868147	332422	897614	-262441	604765	771255	-268473	-410036.6847292129	-937101	38111	804762	-151811	-782108	-820159.8771004004	735380	-587514	790417	-926572	-883315	-87764	179983.01847686805	-199011	-477529	-277807.8967961712	277697.8149383117	348650.965328492	143846	-635859
873604	-882079	-36517	290495.09064481244	770466	953267	785493.907165739	594506.6633221065	254768	-59897.407679634984	-903573.5451464957	-338350.10568167316	632103	-940162	-43785.87991150096	36780	-800598.2980013364	69125	-848738.3992764022	-563071.989561694	831791.5317622267	914676	-735268.4202723048	870500.3941546297	15815	177600	-96768.27512148605	-621734	-384457	276483.083385953	-701317.3028159398	-584076	-883466	-779932	17490	-673764	108277.94332447904	-49334.01110492367	-620106.169064224	362920.4368334692	859670	33379.71416936326	-753523	424522	731666.2903585304	-268563.9701413129	407871.8116588823	974400.5125839913	-878368.3317614932	981478	-589745.5064730266	-541715	316719.3440398462	157262.73436393426	-850424	173113	519242.5117168117	768691.4886464353	-71475.45481612626	46534	233747	-457952	76528.4915288589	-366229	685910.245445858	-250322	509281	-665831	-724274.8860470017	-957797	229288	-381940	-23841.36797840218	921372	-82127.52011287573	-630473.4088589412	-93972.7887678208	-692872	-200690.7344853212	695927.3648657221	-253755.17433875008	-710826.9647033934	-695183	989911.9455688084	-496500	-302808	306828.3548119569	-797556	254578	575436	175856.15738982474	497338	384487.2493477578	937278.3482679594	-149616	-437797	140109	71785	-408551	262404
80820	969208	730392	763963	49387	-299691.96502659016	318379.8447860491	-905910.6783141484	-934171	212404.11417892668	989841.894635333	325266	943015.322616393	200749.0447434252	31381.533126739552	-288696	138917	-637237.6957667258	-441023	-685903	-585723	-680759	822136	-59736	-611917.8649694967	-586622	-195866.7982086375	190137.07725898386	898379	162540	-826871	-912518	-546790	-167858.8628300575	548103	85124	-40577	-748813.953901734	-60192	777291.6620434108	-885773	769083	305408	-335534.7367299341	108592.783807714	-509624.49922735133	705321.9955957804	408187.40968392906	181965	857272	-770084	-479057	-984167	957838	-734750.6547247509	-439135	-857744.4556305483	-845574.6217979908	-809172	-40554.099696598016	752489	107506.20700320369	-305208.4462698061	140697.1116529936	-243321.3467159532	-869570.6614504481	563130	790400.3306969316	262486.5282693675	198807.52954243473	711085	152366.8696134463	668659	-250338	724908	-523486	-697176	-544390	-758349	-927739	-690541.4934668981	-289147.1240185766	449151	507414	281523	763163	-729267.872054708	845362	-2815	-670250.6114603513	666671	789522.3229329991	701186	462107	205973	-572417	-844216	107247	-880741.0156121734	318654.49303244543
-434359.6757799119	213086	-332441	663694	-676583	308711.2925617134	350702.2984461547	-617233.1252748636	932399.10289872	216269.40111683635	-234065	-238922.95232082158	7170	-441194	-806948.6759662142	-94032	956967.255931884	-150535	469170	334764.8165000053	123366	124510	618325.6777020784	-838301	722776	-1190	-305697	-740713	-623038	623425.7931931945	-786841.3386302441	-521112	764103.5178727654	609923	251822.72998627787	-344219.277908814	-413001.78829956136	777403	-420173	-919757	633219	171941.19875288825	-668047	929277.619480104	774633	-87844	-367182	698298.4590449168	-341325.6772216653	-89673	-255288	961535	555214.117705544	248794.5965447852	-401664.6857467459	278117.0008019253	-437345	375159	-889461	-912488.8363683452	985517	223311.49591884692	428818.57822202286	-436292.04339534347	820485.9503236099	112519.72498344141	-109372	-773196	104622.47620578809	855900.1026398917	656138	297440	607426	-538633.1647518028	642906.1830625234	297734.802559342	666140.6329384178	783639.7249476153	970715.8025864873	-794429	392102.0170256344	335434	33577.57628417609	105073	753374.7164358031	-348542	957734	-180963	287670	-718181	-660706	-289243.5867903675	-863680.4705839359	617764	-222824	544383.7861730664	-122782	-312987.1151247327	-257289.28522537544	622273.6920469361
